Int_no,Rue_1,Rue_2,Arrondissement,X,Y,Longitude,Latitude
8256,Côte-Vertu,Décarie,Saint-Laurent,290519.64,5041608.28,-73.6828061,45.5143306
8258,Décarie,Dion,Saint-Laurent,291589.3,5040623.8,-73.6452631,45.4910735
8458,Filion,Henri-Bourassa,Saint-Laurent,289584.88,5043111.5,-73.6424093,45.5967938
8792,Grenet,Laval,Saint-Laurent,288858.09,5042489.5,-73.712409,45.6066487
8830,Henri-Bourassa,Saint-Michel,Montréal-Nord,293069.49,5049345.87,-73.6501986,45.583901
8831,Henri-Bourassa,Séguin,Ahuntsic - Cartierville,292475.43,5047950.72,-73.657014,45.5542367
8832,Henri-Bourassa,Toupin,Saint-Laurent,287586.12,5041573.12,-73.7203301,45.513895
8851,Gariépy,Henri-Bourassa,Montréal-Nord,293610.73,5050551.57,-73.6424093,45.5967938
8852,Garon,Henri-Bourassa,Montréal-Nord,293812.68,5050899.82,-73.64076659999999,45.5978568
8873,Henri-Bourassa,Mère Anselme / Parc-Georges,Montréal-Nord,293240.17,5049886.49,-73.6482626,45.5888379
8888,Henri-Bourassa,Saint-Vital,Montréal-Nord,293341.75,5050091.3,-73.6469159,45.59070819999999
9019,Buies,Jean-Talon,Saint-Léonard,298072.69,5048089.5,-73.5861879,45.5727144
9025,Dollier,Jean-Talon,Saint-Léonard,298355.75,5048704,-73.5825783,45.57825
9032,Jean-Talon,Michelet,Saint-Léonard,298270.47,5048495.5,-73.58365409999999,45.576396
9151,Langelier,"P,-E.-Lamarche",Saint-Léonard,297769.1,5050923.72,-73.5901322,45.598143
9271,Davaar,Manoir,Outremont,295359.47,5042149.44,-73.620824,45.5192391
9453,Arthur-Champoux,Pie IX,Montréal-Nord,293856,5050428,-73.6403953,45.593635
9454,Castille de,Pie-IX,Montréal-Nord,294078.1,5050127.04,-73.6140485,45.5766061
9461,Martial,Pie-IX,Montréal-Nord,293983.46,5050254.26,-73.6392225,45.5922457
9684,Lapierre,Saint-Patrick,LaSalle,294312.53,5033908.45,-73.567256,45.5016889
9864,Gilberte-Dubé,Wellington,Verdun,299802.78,5036797.5,-73.5638792,45.4710891
9994,Loire de la,Voie serv. A-40 Est,Anjou,300088.31,5052382.01,-73.53240939999999,45.6434645
10271,Alexis-Nihon,Côte-Vertu,Saint-Laurent,289752.19,5040740.49,-73.69271909999999,45.5064349
11164,Beaudet,Marcel-Laurin,Saint-Laurent,290568.61,5040734.39,-73.68205309999999,45.5064668
11176,Beaulac,Côte-Vertu,Saint-Laurent,288683.9,5039543.7,-73.70607559999999,45.495545
11251,Bédard / Hardy,Dollard,LaSalle,294037.01,5032579.58,-73.567256,45.5016889
